Worker_ID,Zone,Temperature,Gas_Level,Humidity,Machine_Vibration,Noise_Level,Worker_Fatigue,PPE_Status,Risk_Level
Worker-0001,Refinery Zone,52.45,41.54,72.95,2.4,105.46,23.26,Available,SAFE
Worker-0002,Chemical Plant,68.69,64.19,50.61,2.64,85.85,25.59,Missing,WARNING
Worker-0003,Steel Furnace,48.63,0.0,25.5,6.51,63.75,21.86,Available,SAFE
Worker-0004,Steel Furnace,31.38,9.69,89.31,2.8,70.48,53.71,Available,SAFE
Worker-0005,Refinery Zone,36.83,47.77,36.98,1.59,82.51,90.66,Available,SAFE
Worker-0006,Power Station,35.99,37.71,47.97,2.1,112.05,52.09,Missing,WARNING
Worker-0007,Chemical Plant,57.34,14.48,64.18,5.92,40.0,25.71,Available,SAFE
Worker-0008,Chemical Plant,56.08,49.28,57.69,4.5,68.98,33.06,Available,SAFE
Worker-0009,Steel Furnace,38.09,71.43,66.87,2.27,40.0,78.19,Available,WARNING
Worker-0010,Power Station,34.85,60.29,80.62,7.94,93.63,16.29,Available,SAFE
Worker-0011,Refinery Zone,32.41,37.27,66.63,3.98,94.51,15.4,Missing,WARNING
Worker-0012,Steel Furnace,28.4,15.09,76.25,8.98,102.12,50.14,Missing,WARNING
Worker-0013,Power Station,50.42,28.87,67.23,7.94,105.76,51.97,Missing,WARNING
Worker-0014,Chemical Plant,20.0,65.55,61.74,3.83,69.02,53.23,Available,SAFE
Worker-0015,Refinery Zone,41.7,53.93,89.56,3.06,64.63,16.54,Missing,WARNING
Worker-0016,Mining Area,32.87,32.46,78.31,8.23,81.58,25.86,Missing,WARNING
Worker-0017,Steel Furnace,46.46,69.22,45.96,3.05,68.45,46.3,Available,SAFE
Worker-0018,Mining Area,49.44,51.53,60.1,4.76,70.31,28.88,Available,SAFE
Worker-0019,Chemical Plant,39.86,24.94,56.77,5.67,83.08,69.76,Missing,SAFE
Worker-0020,Chemical Plant,48.86,43.14,21.62,3.56,74.47,13.14,Missing,SAFE
Worker-0021,Mining Area,45.9,106.58,56.15,2.3,81.03,51.6,Missing,WARNING
Worker-0022,Chemical Plant,62.14,63.8,75.82,4.31,56.81,63.75,Missing,WARNING
Worker-0023,Power Station,53.8,99.76,40.19,1.37,63.67,60.23,Available,SAFE
Worker-0024,Assembly Line,21.74,46.71,38.75,7.22,84.47,42.87,Available,SAFE
Worker-0025,Power Station,33.25,36.95,76.27,8.35,50.38,57.19,Missing,WARNING
Worker-0026,Refinery Zone,20.89,49.62,65.2,4.05,90.64,39.68,Missing,WARNING
Worker-0027,Power Station,52.83,52.42,65.01,6.78,81.93,17.15,Available,SAFE
Worker-0028,Refinery Zone,49.4,27.14,97.32,6.87,84.48,29.06,Available,SAFE
Worker-0029,Chemical Plant,30.38,64.68,83.17,6.85,58.59,82.18,Available,SAFE
Worker-0030,Mining Area,57.33,92.42,55.09,3.39,59.93,30.74,Available,WARNING
Worker-0031,Steel Furnace,43.84,53.53,65.53,8.15,91.54,52.72,Available,SAFE
Worker-0032,Assembly Line,41.03,113.0,72.51,3.53,57.86,12.07,Missing,WARNING
Worker-0033,Assembly Line,28.94,57.06,55.53,1.14,89.28,88.91,Missing,WARNING
Worker-0034,Steel Furnace,52.1,43.18,43.06,8.66,44.7,36.94,Missing,WARNING
Worker-0035,Mining Area,48.21,13.86,63.46,6.13,82.71,18.26,Available,SAFE
Worker-0036,Refinery Zone,45.87,16.43,67.16,7.27,86.22,69.71,Missing,WARNING
Worker-0037,Refinery Zone,24.33,21.55,70.3,8.8,85.28,87.63,Available,SAFE
Worker-0038,Power Station,52.73,141.32,71.42,7.32,97.71,77.64,Available,CRITICAL
Worker-0039,Power Station,40.27,63.97,44.54,6.2,70.26,13.06,Available,SAFE
Worker-0040,Steel Furnace,79.72,0.0,73.73,1.27,42.75,13.17,Missing,WARNING
Worker-0041,Assembly Line,37.92,72.22,61.29,7.93,53.45,28.34,Missing,CRITICAL
Worker-0042,Refinery Zone,34.04,50.41,60.91,5.87,61.97,64.18,Available,SAFE
Worker-0043,Refinery Zone,20.0,49.66,46.76,4.95,92.05,16.67,Missing,WARNING
Worker-0044,Chemical Plant,52.57,66.64,35.99,2.41,68.31,31.27,Available,SAFE
Worker-0045,Chemical Plant,71.48,55.12,34.78,9.59,93.36,72.72,Missing,CRITICAL
Worker-0046,Assembly Line,76.83,70.81,29.61,4.2,65.32,74.42,Missing,CRITICAL
Worker-0047,Chemical Plant,51.66,64.37,41.46,5.42,73.81,50.25,Available,SAFE
Worker-0048,Power Station,41.21,13.81,92.65,6.72,46.4,13.85,Missing,WARNING
Worker-0049,Steel Furnace,66.62,9.1,83.26,6.93,75.2,23.85,Missing,WARNING
Worker-0050,Assembly Line,47.99,29.99,61.4,9.46,67.29,58.92,Missing,WARNING
Worker-0051,Steel Furnace,68.79,14.05,100.0,9.47,40.0,42.82,Missing,CRITICAL
Worker-0052,Steel Furnace,49.21,29.43,55.84,8.6,65.14,11.98,Available,SAFE
Worker-0053,Refinery Zone,36.16,66.24,67.14,6.66,61.14,84.59,Missing,WARNING
Worker-0054,Refinery Zone,57.19,60.74,43.42,7.76,63.8,78.58,Missing,CRITICAL
Worker-0055,Power Station,44.69,47.93,85.55,4.07,63.17,89.11,Missing,WARNING
Worker-0056,Mining Area,41.73,72.47,76.51,1.93,91.27,86.72,Available,WARNING
Worker-0057,Steel Furnace,64.58,45.53,73.64,4.5,68.79,10.92,Missing,WARNING
Worker-0058,Chemical Plant,49.86,41.75,61.94,6.69,86.9,48.12,Available,SAFE
Worker-0059,Chemical Plant,29.91,14.65,83.16,8.12,90.83,77.12,Available,WARNING
Worker-0060,Refinery Zone,44.82,22.57,61.52,4.97,61.46,85.45,Available,SAFE
Worker-0061,Refinery Zone,32.62,36.97,68.26,6.56,63.73,18.6,Missing,SAFE
Worker-0062,Power Station,48.67,32.33,50.58,1.76,79.64,93.86,Available,SAFE
Worker-0063,Assembly Line,23.28,9.81,45.63,7.99,70.73,57.46,Missing,WARNING
Worker-0064,Power Station,57.86,41.0,59.62,1.1,54.95,49.84,Missing,WARNING
Worker-0065,Power Station,49.84,24.32,70.39,9.66,105.65,41.86,Missing,WARNING
Worker-0066,Power Station,55.35,34.97,64.48,1.66,75.25,57.08,Available,SAFE
Worker-0067,Refinery Zone,45.37,57.45,89.02,5.09,94.19,63.34,Available,SAFE
Worker-0068,Refinery Zone,58.08,49.58,100.0,3.5,58.83,25.99,Missing,WARNING
Worker-0069,Refinery Zone,20.0,31.86,44.82,9.77,78.01,93.83,Missing,WARNING
Worker-0070,Chemical Plant,50.13,91.9,79.01,7.16,63.46,23.82,Missing,CRITICAL
Worker-0071,Assembly Line,25.2,90.79,83.59,9.89,65.62,22.79,Available,WARNING
